order,foot_type,heel_to_fore,heel_to_distal_metatrasal,middle_foot_width,heel_to_apex1,heel_to_apex5,apex1_to_apex5,heel_width,heel_to_middle,arch_height
1,Normal,23.619,19.814,8.203,17.205,14.817,9.207,5.307,9.907,3.000
2,Normal,25.912,21.489,8.978,19.063,16.265,10.235,6.387,10.745,3.600
3,High,22.878,19.112,7.178,16.500,14.470,9.033,5.449,9.556,3.450
4,Normal,23.869,20.263,7.533,17.034,15.272,8.994,5.712,10.132,3.470
5,High,21.408,18.132,6.966,15.709,14.181,8.746,5.317,9.066,3.350
6,Flat,23.761,20.450,7.762,17.566,15.567,9.674,5.450,10.225,3.380
7,Flat,22.515,19.252,7.469,16.726,14.762,8.674,4.909,9.626,2.920
8,Flat,22.549,18.885,7.525,15.955,14.294,9.286,5.275,9.443,2.700
9,High,25.197,21.030,8.789,18.409,15.540,10.004,6.079,10.515,3.440
10,High,22.109,18.738,7.447,16.407,14.316,10.065,5.157,9.369,3.530
11,High,23.769,20.506,7.142,17.390,16.297,9.262,5.491,10.028,4.220
12,High,23.907,20.309,7.548,17.336,15.474,9.278,5.524,10.154,3.520
13,High,23.273,19.628,6.996,16.752,14.474,8.832,5.460,9.814,3.390
14,Normal,21.793,18.499,7.271,15.036,14.203,9.637,5.310,9.250,3.670
15,Flat,24.532,20.802,9.016,18.370,15.406,10.429,5.971,10.401,3.070
16,Normal,25.921,21.631,8.375,18.330,16.639,9.744,5.609,10.816,3.490
17,Flat,27.080,23.390,9.199,20.039,17.318,10.726,6.766,13.540,3.550
18,High,23.399,19.743,7.342,17.076,14.234,8.858,5.553,11.700,3.430
19,Normal,27.191,22.807,8.589,19.304,17.436,10.223,6.459,11.403,3.750
20,Flat,25.096,21.997,9.200,18.344,16.987,10.682,6.439,10.998,3.200
21,Flat,23.993,19.927,8.391,17.309,14.755,9.882,5.669,9.996,3.580
22,Flat,26.595,21.960,9.362,19.771,16.050,10.527,6.541,10.980,3.000
23,Flat,25.801,21.443,9.170,18.624,15.837,11.148,6.218,10.720,3.470
24,Normal,25.889,22.183,8.567,18.182,16.227,10.494,6.603,11.090,4.000
25,Flat,25.514,22.135,8.618,18.562,16.724,10.235,6.095,11.070,3.560
26,High,23.703,20.047,6.924,16.916,15.101,9.152,5.378,10.024,3.420
27,Normal,23.113,19.314,6.786,16.338,15.518,8.698,5.543,9.657,3.470
28,Normal,24.678,20.872,7.831,17.867,15.655,10.248,5.895,10.436,3.490
29,Normal,22.366,18.452,6.700,16.652,14.239,8.300,4.955,9.226,3.190
30,High,24.026,20.272,6.859,17.497,15.397,9.151,5.285,10.136,4.090
